ID;Quantidade;Unidade;Gênero Alimentício;Custo Unitário;Custo Total
72;3.670;kg;ACELGA;R$5,01;R$18.386,70
73;530;kg;ALFACE AMERICANA;R$6,33;R$3.354,90
74;6.312;kg;ALHO;R$15,52;R$97.962,24
75;36.742;kg;BATATA DOCE;R$2,59;R$95.161,78
76;24.437;kg;BETERRABA;R$3,07;R$75.021,59
77;626;kg;BRÓCOLIS CABEÇA ÚNICA(JAPONÊS);R$6,30;R$3.943,80
78;31.555;kg;CEBOLA;R$2,85;R$89.931,75
79;6.312;kg;CEBOLINHA COMUM;R$11,71;R$73.913,52
80;25.359;kg;CENOURA;R$2,51;R$63.651,09
81;1.813;kg;CHUCHU;R$3,07;R$5.565,91
82;3.053;kg;COENTRO;R$9,33;R$28.484,49
83;626;kg;COUVE-FLOR;R$6,53;R$4.087,78
84;12.233;kg;COUVE MANTEIGA;R$5,88;R$71.930,04
85;569;kg;ESPINAFRE;R$6,00;R$3.414,00
86;21.532;kg;GOIABA;R$3,15;R$67.825,80
87;646;kg;HORTELÃ;R$10,20;R$6.589,20
88;1.774;kg;INHAME;R$4,54;R$8.053,96
89;7.639;kg;LIMÃO TAHITI;R$3,49;R$26.660,11
90;1.528;kg;MANJERICÃO;R$16,00;R$24.448,00
91;3.097;kg;MARACUJÁ;R$6,00;R$18.582,00
92;2.969;kg;MILHO VERDE;R$4,50;R$13.360,50
93;16.443;kg;MORANGO;R$12,50;R$205.537,50
94;8.543;kg;PEPINO COMUM;R$3,05;R$26.056,15
95;4.332;kg;PIMENTÃO VERDE;R$4,34;R$18.800,88
96;8.226;kg;REPOLHO VERDE;R$2,75;R$22.621,50
97;8.226;kg;REPOLHO ROXO;R$3,21;R$26.405,46
98;1.732;kg;SALSA;R$12,53;R$21.701,96
99;37.091;kg;TANGERINA PONKAN;R$3,55;R$131.673,05
100;6.987;kg;TOMATE;R$3,61;R$25.223,07
101;469;kg;VAGEM;R$7,20;R$3.376,80
102;124.290;kg;BANANA PRATA;R$2,84;R$352.983,60
103;4.576;kg;ABACATE;R$4,99;R$22.834,24
104;21.076;kg;ABÓBORA JAPONESA;R$2,61;R$55.008,36
105;414;kg;ABOBRINHA ITALIANA;R$3,40;R$1.407,60
106;2.395;kg;ACELGA;R$5,01;R$11.998,95
107;429;kg;ALFACE AMERICANA;R$6,33;R$2.715,57
108;4.128;kg;ALHO;R$15,52;R$64.066,56
109;24.067;kg;BATATA DOCE;R$2,59;R$62.333,53
110;16.051;kg;BETERRABA;R$3,07;R$49.276,57
111;460;kg;BRÓCOLIS CABEÇA ÚNICA(JAPONÊS);R$6,30;R$2.898,00
112;20.631;kg;CEBOLA;R$2,85;R$58.798,35
113;4.128;kg;CEBOLINHA COMUM;R$11,71;R$48.338,88
114;16.612;kg;CENOURA;R$2,51;R$41.696,12
115;1.446;kg;CHUCHU;R$3,07;R$4.439,22
116;1.984;kg;COENTRO;R$9,33;R$18.510,72
117;500;kg;COUVE-FLOR;R$6,53;R$3.265,00
118;8.007;kg;COUVE MANTEIGA;R$5,88;R$47.081,16
119;454;kg;ESPINAFRE;R$6,00;R$2.724,00
120;14.713;kg;GOIABA;R$3,15;R$46.345,95
121;437;kg;HORTELÃ;R$10,20;R$4.457,40
122;1.402;kg;INHAME;R$4,54;R$6.365,08
123;4.964;kg;LIMÃO TAHITI;R$3,49;R$17.324,36
124;994;kg;MANJERICÃO;R$16,00;R$15.904,00
125;4.665;kg;MARACUJÁ;R$6,00;R$27.990,00
126;2.384;kg;MILHO VERDE;R$4,50;R$10.728,00
127;13.828;kg;MORANGO;R$12,50;R$172.850,00
128;5.614;kg;PEPINO COMUM;R$3,05;R$17.122,70
129;2.815;kg;PIMENTÃO VERDE;R$4,34;R$12.217,10
130;5.386;kg;REPOLHO VERDE;R$2,75;R$14.811,50
131;5.386;kg;REPOLHO ROXO;R$3,21;R$17.289,06
132;1.149;kg;SALSA;R$12,53;R$14.396,97
133;29.041;kg;TANGERINA PONKAN;R$3,55;R$103.095,55
134;4.587;kg;TOMATE;R$3,61;R$16.559,07
135;375;kg;VAGEM;R$7,20;R$2.700,00
136;87.904;kg;BANANA PRATA;R$2,84;R$249.647,36
137;6.911;kg;ABACATE;R$4,99;R$34.485,89
138;24.659;kg;ABÓBORA JAPONESA;R$2,61;R$64.359,99
139;1.080;kg;ABOBRINHA ITALIANA;R$3,40;R$3.672,00
140;2.738;kg;ACELGA;R$5,01;R$13.717,38
141;1.369;kg;ALFACE AMERICANA;R$6,33;R$8.665,77
142;4.724;kg;ALHO;R$15,52;R$73.316,48
143;27.040;kg;BATATA DOCE;R$2,59;R$70.033,60
144;18.753;kg;BETERRABA;R$3,07;R$57.571,71
145;1.085;kg;BRÓCOLIS CABEÇA ÚNICA (JAPONÊS);R$6,30;R$6.835,50
146;23.619;kg;CEBOLA;R$2,85;R$67.314,15
147;4.659;kg;CEBOLINHA COMUM;R$11,71;R$54.556,89
148;18.994;kg;CENOURA;R$2,51;R$47.674,94
149;4.117;kg;CHUCHU;R$3,07;R$12.639,19
150;2.178;kg;COENTRO;R$9,33;R$20.320,74
151;1.296;kg;COUVE-FLOR;R$6,53;R$8.462,88
152;9.016;kg;COUVE MANTEIGA;R$5,88;R$53.014,08
153;1.187;kg;ESPINAFRE;R$6,00;R$7.122,00
154;22.087;kg;GOIABA;R$3,15;R$69.574,05
155;608;kg;HORTELÃ;R$10,20;R$6.201,60
156;3.768;kg;INHAME;R$4,54;R$17.106,72
157;5.408;kg;LIMÃO TAHITI;R$3,49;R$18.873,92
158;1.088;kg;MANJERICÃO;R$16,00;R$17.408,00
159;6.911;kg;MARACUJÁ;R$6,00;R$41.466,00
160;6.479;kg;MILHO VERDE;R$4,50;R$29.155,50
161;16.689;kg;MORANGO;R$12,50;R$208.612,50
162;6.697;kg;PEPINO COMUM;R$3,05;R$20.425,85
163;3.111;kg;PIMENTÃO VERDE;R$4,34;R$13.501,74
164;6.342;kg;REPOLHO VERDE;R$2,75;R$17.440,50
165;6.342;kg;REPOLHO ROXO;R$3,21;R$20.357,82
166;1.458;kg;SALSA;R$12,53;R$18.268,74
167;30.420;kg;TANGERINA PONKAN;R$3,55;R$107.991,00
168;5.274;kg;TOMATE;R$3,61;R$19.039,14
169;972;kg;VAGEM;R$7,20;R$6.998,40
170;81.673;kg;BANANA PRATA;R$2,84;R$231.951,32
171;1.989;kg;ABACATE;R$4,99;R$9.925,11
172;28.390;kg;ABÓBORA JAPONESA;R$2,61;R$74.097,90
173;311;kg;ABOBRINHA ITALIANA;R$3,40;R$1.057,40
174;3.396;kg;ACELGA;R$5,01;R$17.013,96
175;489;kg;ALFACE AMERICANA;R$6,33;R$3.095,37
176;5.766;kg;ALHO;R$15,52;R$89.488,32
177;32.528;kg;BATATA DOCE;R$2,59;R$84.247,52
178;21.855;kg;BETERRABA;R$3,07;R$67.094,85
179;416;kg;BRÓCOLIS CABEÇA ÚNICA (JAPONÊS);R$6,30;R$2.620,80
180;28.835;kg;CEBOLA;R$2,85;R$82.179,75
181;5.719;kg;CEBOLINHA COMUM;R$11,71;R$66.969,49
182;22.733;kg;CENOURA;R$2,51;R$57.059,83
183;1.347;kg;CHUCHU;R$3,07;R$4.135,29
184;2.817;kg;COENTRO;R$9,33;R$26.282,61
185;373;kg;COUVE-FLOR;R$6,53;R$2.435,69
186;10.933;kg;COUVE MANTEIGA;R$5,88;R$64.286,04
187;342;kg;ESPINAFRE;R$6,00;R$2.052,00
188;18.391;kg;GOIABA;R$3,15;R$57.931,65
189;558;kg;HORTELÃ;R$10,20;R$5.691,60
190;1.219;kg;INHAME;R$4,54;R$5.534,26
191;7.032;kg;LIMÃO TAHITI;R$3,49;R$24.541,68
192;1.408;kg;MANJERICÃO;R$16,00;R$22.528,00
193;1.989;kg;MARACUJÁ;R$6,00;R$11.934,00
194;1.865;kg;MILHO VERDE;R$4,50;R$8.392,50
195;14.755;kg;MORANGO;R$12,50;R$184.437,50
196;7.791;kg;PEPINO COMUM;R$3,05;R$23.762,55
197;4.024;kg;PIMENTÃO VERDE;R$4,34;R$17.464,16
198;7.587;kg;REPOLHO VERDE;R$2,75;R$20.864,25
199;7.587;kg;REPOLHO ROXO;R$3,21;R$24.354,27
200;1.542;kg;SALSA;R$12,53;R$19.321,26
201;31.992;kg;TANGERINA PONKAN;R$3,55;R$113.571,60
202;6.220;kg;TOMATE;R$3,61;R$22.454,20
203;279;kg;VAGEM;R$7,20;R$2.008,80
204;105.611;kg;BANANA PRATA;R$2,84;R$299.935,24
205;2.006;kg;ABACATE;R$4,99;R$10.009,94
206;18.877;kg;ABÓBORA JAPONESA;R$2,61;R$49.268,97
207;325;kg;ABOBRINHA ITALIANA;R$3,40;R$1.105,00
208;2.219;kg;ACELGA;R$5,01;R$11.117,19
209;341;kg;ALFACE AMERICANA;R$6,33;R$2.158,53
210;3.774;kg;ALHO;R$15,52;R$58.572,48
211;21.587;kg;BATATA DOCE;R$2,59;R$55.910,33
212;14.437;kg;BETERRABA;R$3,07;R$44.321,59
213;328;kg;BRÓCOLIS CABEÇA ÚNICA(JAPONÊS);R$6,30;R$2.066,40
214;18.865;kg;CEBOLA;R$2,85;R$53.765,25
215;3.774;kg;CEBOLINHA COMUM;R$11,71;R$44.193,54
216;15.035;kg;CENOURA;R$2,51;R$37.737,85
217;1.128;kg;CHUCHU;R$3,07;R$3.462,96
218;1.835;kg;COENTRO;R$9,33;R$17.120,55
219;390;kg;COUVE-FLOR;R$6,53;R$2.546,70
220;7.253;kg;COUVE MANTEIGA;R$5,88;R$42.647,64
221;357;kg;ESPINAFRE;R$6,00;R$2.142,00
222;12.855;kg;GOIABA;R$3,15;R$40.493,25
223;376;kg;HORTELÃ;R$10,20;R$3.835,20
224;1.063;kg;INHAME;R$4,54;R$4.826,02
225;4.581;kg;LIMÃO TAHITI;R$3,49;R$15.987,69
226;919;kg;MANJERICÃO;R$16,00;R$14.704,00
227;2.026;kg;MARACUJÁ;R$6,00;R$12.156,00
228;1.918;kg;MILHO VERDE;R$4,50;R$8.631,00
229;9.775;kg;MORANGO;R$12,50;R$122.187,50
230;5.158;kg;PEPINO COMUM;R$3,05;R$15.731,90
231;2.614;kg;PIMENTÃO VERDE;R$4,34;R$11.344,76
232;4.970;kg;REPOLHO VERDE;R$2,75;R$13.667,50
233;4.970;kg;REPOLHO ROXO;R$3,21;R$15.953,70
234;1.023;kg;SALSA;R$12,53;R$12.818,19
235;22.029;kg;TANGERINA PONKAN;R$3,55;R$78.202,95
236;4.133;kg;TOMATE;R$3,61;R$14.920,13
237;293;kg;VAGEM;R$7,20;R$2.109,60
238;70.890;kg;BANANA PRATA;R$2,84;R$201.327,60
239;4.137;kg;ABACATE;R$4,99;R$20.643,63
240;14.871;kg;ABÓBORA JAPONESA;R$2,61;R$38.813,31
241;647;kg;ABOBRINHA ITALIANA;R$3,40;R$2.199,80
242;1.638;kg;ACELGA;R$5,01;R$8.206,38
243;863;kg;ALFACE AMERICANA;R$6,33;R$5.462,79
244;2.841;kg;ALHO;R$15,52;R$44.092,32
245;16.272;kg;BATATA DOCE;R$2,59;R$42.144,48
246;11.325;kg;BETERRABA;R$3,07;R$34.767,75
247;637;kg;BRÓCOLIS CABEÇA ÚNICA(JAPONÊS);R$6,30;R$4.013,10
248;14.204;kg;CEBOLA;R$2,85;R$40.481,40
249;2.789;kg;CEBOLINHA COMUM;R$11,71;R$32.659,19
250;11.436;kg;CENOURA;R$2,51;R$28.704,36
251;2.537;kg;CHUCHU;R$3,07;R$7.788,59
252;1.303;kg;COENTRO;R$9,33;R$12.156,99
253;776;kg;COUVE-FLOR;R$6,53;R$5.067,28
254;5.416;kg;COUVE MANTEIGA;R$5,88;R$31.846,08
255;710;kg;ESPINAFRE;R$6,00;R$4.260,00
256;13.358;kg;GOIABA;R$3,15;R$42.077,70
257;372;kg;HORTELÃ;R$10,20;R$3.794,40
258;2.315;kg;INHAME;R$4,54;R$10.510,10
259;3.237;kg;LIMÃO TAHITI;R$3,49;R$11.297,13
260;652;kg;MANJERICÃO;R$16,00;R$10.432,00
261;4.137;kg;MARACUJÁ;R$6,00;R$24.822,00
262;3.878;kg;MILHO VERDE;R$4,50;R$17.451,00
263;10.243;kg;MORANGO;R$12,50;R$128.037,50
264;4.022;kg;PEPINO COMUM;R$3,05;R$12.267,10
265;1.863;kg;PIMENTÃO VERDE;R$4,34;R$8.085,42
266;3.808;kg;REPOLHO VERDE;R$2,75;R$10.472,00
267;3.808;kg;REPOLHO ROXO;R$3,21;R$12.223,68
268;885;kg;SALSA;R$12,53;R$11.089,05
269;18.257;kg;TANGERINA PONKAN;R$3,55;R$64.812,35
270;3.181;kg;TOMATE;R$3,61;R$11.483,41
271;582;kg;VAGEM;R$7,20;R$4.190,40
272;48.892;kg;BANANA PRATA;R$2,84;R$138.853,28
273;976;kg;ABACATE;R$4,99;R$4.870,24
274;17.676;kg;ABÓBORA JAPONESA;R$2,61;R$46.134,36
275;159;kg;ABOBRINHA ITALIANA;R$3,40;R$540,60
276;2.104;kg;ACELGA;R$5,01;R$10.541,04
277;251;kg;ALFACE AMERICANA;R$6,33;R$1.588,83
278;3.580;kg;ALHO;R$15,52;R$55.561,60
279;20.326;kg;BATATA DOCE;R$2,59;R$52.644,34
280;13.603;kg;BETERRABA;R$3,07;R$41.761,21
281;202;kg;BRÓCOLIS CABEÇA ÚNICA(JAPONÊS);R$6,30;R$1.272,60
282;17.901;kg;CEBOLA;R$2,85;R$51.017,85
283;3.554;kg;CEBOLINHA COMUM;R$11,71;R$41.617,34
284;14.168;kg;CENOURA;R$2,51;R$35.561,68
285;698;kg;CHUCHU;R$3,07;R$2.142,86
286;1.752;kg;COENTRO;R$9,33;R$16.346,16
287;192;kg;COUVE-FLOR;R$6,53;R$1.253,76
288;6.823;kg;COUVE MANTEIGA;R$5,88;R$40.119,24
289;174;kg;ESPINAFRE;R$6,00;R$1.044,00
290;11.146;kg;GOIABA;R$3,15;R$35.109,90
291;344;kg;HORTELÃ;R$10,20;R$3.508,80
292;644;kg;INHAME;R$4,54;R$2.923,76
293;4.376;kg;LIMÃO TAHITI;R$3,49;R$15.272,24
294;877;kg;MANJERICÃO;R$16,00;R$14.032,00
295;987;kg;MARACUJÁ;R$6,00;R$5.922,00
296;937;kg;MILHO VERDE;R$4,50;R$4.216,50
297;8.961;kg;MORANGO;R$12,50;R$112.012,50
298;4.822;kg;PEPINO COMUM;R$3,05;R$14.707,10
299;2.498;kg;PIMENTÃO VERDE;R$4,34;R$10.841,32
300;4.691;kg;REPOLHO VERDE;R$2,75;R$12.900,25
301;4.691;kg;REPOLHO ROXO;R$3,21;R$15.058,11
302;954;kg;SALSA;R$12,53;R$11.953,62
303;19.881;kg;TANGERINA PONKAN;R$3,55;R$70.577,55
304;3.885;kg;TOMATE;R$3,61;R$14.024,85
305;144;kg;VAGEM;R$7,20;R$1.036,80
306;66.877;kg;BANANA PRATA;R$2,84;R$189.930,68
307;5.750;kg;ABACATE;R$4,99;R$28.692,50
308;33.600;kg;ABÓBORA JAPONESA;R$2,61;R$87.696,00
309;779;kg;ABOBRINHA ITALIANA;R$3,40;R$2.648,60
310;3.888;kg;ACELGA;R$5,01;R$19.478,88
311;911;kg;ALFACE AMERICANA;R$6,33;R$5.766,63
312;6.648;kg;ALHO;R$15,52;R$103.176,96
313;38.056;kg;BATATA DOCE;R$2,59;R$98.565,04
314;25.663;kg;BETERRABA;R$3,07;R$78.785,41
315;781;kg;BRÓCOLIS CABEÇA ÚNICA(JAPONÊS);R$6,30;R$4.920,30
316;33.232;kg;CEBOLA;R$2,85;R$94.711,20
317;6.622;kg;CEBOLINHA COMUM;R$11,71;R$77.543,62
318;26.532;kg;CENOURA;R$2,51;R$66.595,32
319;2.853;kg;CHUCHU;R$3,07;R$8.758,71
320;3.191;kg;COENTRO;R$9,33;R$29.772,03
321;938;kg;COUVE-FLOR;R$6,53;R$6.125,14
322;12.750;kg;COUVE MANTEIGA;R$5,88;R$74.970,00
323;857;kg;ESPINAFRE;R$6,00;R$5.142,00
324;24.575;kg;GOIABA;R$3,15;R$77.411,25
325;708;kg;HORTELÃ;R$10,20;R$7.221,60
326;2.653;kg;INHAME;R$4,54;R$12.044,62
327;7.959;kg;LIMÃO TAHITI;R$3,49;R$27.776,91
328;1.594;kg;MANJERICÃO;R$16,00;R$25.504,00
329;5.819;kg;MARACUJÁ;R$6,00;R$34.914,00
330;4.620;kg;MILHO VERDE;R$4,50;R$20.790,00
331;19.818;kg;MORANGO;R$12,50;R$247.725,00
332;9.142;kg;PEPINO COMUM;R$3,05;R$27.883,10
333;4.548;kg;PIMENTÃO VERDE;R$4,34;R$19.738,32
334;8.775;kg;REPOLHO VERDE;R$2,75;R$24.131,25
335;8.775;kg;REPOLHO ROXO;R$3,21;R$28.167,75
336;1.860;kg;SALSA;R$12,53;R$23.305,80
337;41.464;kg;TANGERINA PONKAN;R$3,55;R$147.197,20
338;7.314;kg;TOMATE;R$3,61;R$26.403,54
339;703;kg;VAGEM;R$7,20;R$5.061,60
340;125.647;kg;BANANA PRATA;R$2,84;R$356.837,48
341;3.175;kg;ABACATE;R$4,99;R$15.843,25
342;22.263;kg;ABÓBORA JAPONESA;R$2,61;R$58.106,43
343;500;kg;ABOBRINHA ITALIANA;R$3,40;R$1.700,00
344;2.565;kg;ACELGA;R$5,01;R$12.850,65
345;746;kg;ALFACE AMERICANA;R$6,33;R$4.722,18
346;4.411;kg;ALHO;R$15,52;R$68.458,72
347;25.066;kg;BATATA DOCE;R$2,59;R$64.920,94
348;17.076;kg;BETERRABA;R$3,07;R$52.423,32
349;621;kg;BRÓCOLIS CABEÇA ÚNICA(JAPONÊS);R$6,30;R$3.912,30
350;22.063;kg;CEBOLA;R$2,85;R$62.879,55
351;4.348;kg;CEBOLINHA COMUM;R$11,71;R$50.915,08
352;17.516;kg;CENOURA;R$2,51;R$43.965,16
353;2.102;kg;CHUCHU;R$3,07;R$6.453,14
354;2.103;kg;COENTRO;R$9,33;R$19.620,99
355;600;kg;COUVE-FLOR;R$6,53;R$3.918,00
356;8.364;kg;COUVE MANTEIGA;R$5,88;R$49.180,32
357;549;kg;ESPINAFRE;R$6,00;R$3.294,00
358;16.487;kg;GOIABA;R$3,15;R$51.934,05
359;490;kg;HORTELÃ;R$10,20;R$4.998,00
360;1.914;kg;INHAME;R$4,54;R$8.689,56
361;5.239;kg;LIMÃO TAHITI;R$3,49;R$18.284,11
362;1.051;kg;MANJERICÃO;R$16,00;R$16.816,00
363;3.182;kg;MARACUJÁ;R$6,00;R$19.092,00
364;2.990;kg;MILHO VERDE;R$4,50;R$13.455,00
365;13.127;kg;MORANGO;R$12,50;R$164.087,50
366;6.028;kg;PEPINO COMUM;R$3,05;R$18.385,40
367;3.000;kg;PIMENTÃO VERDE;R$4,34;R$13.020,00
368;5.830;kg;REPOLHO VERDE;R$2,75;R$16.032,50
369;5.830;kg;REPOLHO ROXO;R$3,21;R$18.714,30
370;1.261;kg;SALSA;R$12,53;R$15.800,33
371;25.637;kg;TANGERINA PONKAN;R$3,55;R$91.011,35
372;4.818;kg;TOMATE;R$3,61;R$17.392,98
373;451;kg;VAGEM;R$7,20;R$3.247,20
374;79.553;kg;BANANA PRATA;R$2,84;R$225.930,52
375;4.360;kg;ABACATE;R$4,99;R$21.756,40
376;22.207;kg;ABÓBORA JAPONESA;R$2,61;R$57.960,27
377;682;kg;ABOBRINHA ITALIANA;R$3,40;R$2.318,80
378;2.528;kg;ACELGA;R$5,01;R$12.665,28
379;936;kg;ALFACE AMERICANA;R$6,33;R$5.924,88
380;4.348;kg;ALHO;R$15,52;R$67.480,96
381;24.747;kg;BATATA DOCE;R$2,59;R$64.094,73
382;16.985;kg;BETERRABA;R$3,07;R$52.143,95
383;707;kg;BRÓCOLIS CABEÇA ÚNICA(JAPONÊS);R$6,30;R$4.454,10
384;21.737;kg;CEBOLA;R$2,85;R$61.950,45
385;4.285;kg;CEBOLINHA COMUM;R$11,71;R$50.177,35
386;17.353;kg;CENOURA;R$2,51;R$43.556,03
387;2.720;kg;CHUCHU;R$3,07;R$8.350,40
388;2.045;kg;COENTRO;R$9,33;R$19.079,85
389;818;kg;COUVE-FLOR;R$6,53;R$5.341,54
390;8.267;kg;COUVE MANTEIGA;R$5,88;R$48.609,96
391;750;kg;ESPINAFRE;R$6,00;R$4.500,00
392;17.769;kg;GOIABA;R$3,15;R$55.972,35
393;511;kg;HORTELÃ;R$10,20;R$5.212,20
394;2.478;kg;INHAME;R$4,54;R$11.250,12
395;5.095;kg;LIMÃO TAHITI;R$3,49;R$17.781,55
396;1.025;kg;MANJERICÃO;R$16,00;R$16.400,00
397;4.360;kg;MARACUJÁ;R$6,00;R$26.160,00
398;4.088;kg;MILHO VERDE;R$4,50;R$18.396,00
399;13.840;kg;MORANGO;R$12,50;R$173.000,00
400;6.040;kg;PEPINO COMUM;R$3,05;R$18.422,00
401;2.924;kg;PIMENTÃO VERDE;R$4,34;R$12.690,16
402;5.783;kg;REPOLHO VERDE;R$2,75;R$15.903,25
403;5.783;kg;REPOLHO ROXO;R$3,21;R$18.563,43
404;1.276;kg;SALSA;R$12,53;R$15.988,28
405;26.371;kg;TANGERINA PONKAN;R$3,55;R$93.617,05
406;4.794;kg;TOMATE;R$3,61;R$17.306,34
407;614;kg;VAGEM;R$7,20;R$4.420,80
408;76.761;kg;BANANA PRATA;R$2,84;R$218.001,24
409;5.118;kg;ABACATE;R$4,99;R$25.538,82
410;37.937;kg;ABÓBORA JAPONESA;R$2,61;R$99.015,57
411;821;kg;ABOBRINHA ITALIANA;R$3,40;R$2.791,40
412;4.350;kg;ACELGA;R$5,01;R$21.793,50
413;1.169;kg;ALFACE AMERICANA;R$6,33;R$7.399,77
414;7.490;kg;ALHO;R$15,52;R$116.244,80
415;42.842;kg;BATATA DOCE;R$2,59;R$110.960,78
416;29.057;kg;BETERRABA;R$3,07;R$89.204,99
417;1.007;kg;BRÓCOLIS CABEÇA ÚNICA(JAPONÊS);R$6,30;R$6.344,10
418;37.455;kg;CEBOLA;R$2,85;R$106.746,75
419;7.399;kg;CEBOLINHA COMUM;R$11,71;R$86.642,29
420;29.848;kg;CENOURA;R$2,51;R$74.918,48
421;3.370;kg;CHUCHU;R$3,07;R$10.345,90
422;3.575;kg;COENTRO;R$9,33;R$33.354,75
423;986;kg;COUVE-FLOR;R$6,53;R$6.438,58
424;14.278;kg;COUVE MANTEIGA;R$5,88;R$83.954,64
425;901;kg;ESPINAFRE;R$6,00;R$5.406,00
426;27.699;kg;GOIABA;R$3,15;R$87.251,85
427;824;kg;HORTELÃ;R$10,20;R$8.404,80
428;3.103;kg;INHAME;R$4,54;R$14.087,62
429;8.914;kg;LIMÃO TAHITI;R$3,49;R$31.109,86
430;1.786;kg;MANJERICÃO;R$16,00;R$28.576,00
431;5.155;kg;MARACUJÁ;R$6,00;R$30.930,00
432;4.869;kg;MILHO VERDE;R$4,50;R$21.910,50
433;21.902;kg;MORANGO;R$12,50;R$273.775,00
434;10.219;kg;PEPINO COMUM;R$3,05;R$31.167,95
